T1,T2,T3
"Men's Products",Clothing,"T-Shirts: Half Sleeved"
"Men's Products",Clothing,"T-Shirts: Long Sleeved"
"Men's Products",Clothing,"T-Shirts: V-Neck"
"Men's Products",Clothing,"T-Shirts: Sleeveless"
"Men's Products",Clothing,"T-Shirts: Polo"
"Men's Products",Clothing,"Shirts: Full Sleeve"
"Men's Products",Clothing,"Shirts: Half Sleeve"
"Men's Products",Clothing,"Pants: Jeans"
"Men's Products",Clothing,"Pants: Shorts"
"Men's Products",Clothing,"Pants: Three Quarter"
"Men's Products",Clothing,"Pants: Sports Tracks"
"Men's Products",Clothing,"Pants: Gaberdine"
"Men's Products",Clothing,"Pants: Khakis"
"Men's Products",Clothing,"Fatua: Half-Sleeved"
"Men's Products",Clothing,"Fatua: Full-Sleeved"
"Men's Products",Clothing,"Panjabi & Pajama: Sherwani"
"Men's Products",Clothing,"Panjabi & Pajama: Kurta"
"Men's Products",Clothing,"Panjabi & Pajama: Phulkari"
"Men's Products",Clothing,"Panjabi & Pajama: Punjabi"
"Men's Products",Clothing,"Panjabi & Pajama: Pajama"
"Men's Products",Clothing,"Formal Wear: Blazers"
"Men's Products",Clothing,"Formal Wear: Ties"
"Men's Products",Clothing,"Formal Wear: Vests"
"Men's Products",Clothing,"Formal Wear: Cufflinks"
"Men's Products",Clothing,"Formal Wear: Coat Pins"
"Men's Products",Clothing,"Formal Wear: Suits"
"Men's Products",Clothing,"Sportswear: Jerseys"
"Men's Products",Clothing,"Sportswear: Athletic Trousers"
"Men's Products",Clothing,"Sportswear: Innerwear"
"Men's Products",Clothing,"Sportswear: Athletic Shorts"
"Men's Products",Clothing,"Winterwear: Cardigans"
"Men's Products",Clothing,"Winterwear: Turtle Necks"
"Men's Products",Clothing,"Winterwear: Overcoats"
"Men's Products",Clothing,"Winterwear: Trench Coats"
"Men's Products",Clothing,"Winterwear: Jackets"
"Men's Products",Clothing,"Winterwear: Sweaters"
"Men's Products",Clothing,"Wedding Collection"
"Men's Products",Clothing,"Underwears: Boxers"
"Men's Products",Clothing,"Underwears: Briefs"
"Men's Products",Clothing,"Underwears: Boxer Briefs"
"Men's Products",Clothing,"Saree: Cotton"
"Men's Products",Clothing,"Shirt: Casual"
"Men's Products",Clothing,"Shirts: Formal"
"Men's Products",Clothing,"Fatua: Casual"
"Men's Products",Clothing,"Shirts: Casual"
"Men's Products",Clothing,"T-Shirts: Round Neck"
"Men's Products",Clothing,"Wallets: Classic Bifold"
"Men's Products",Clothing,"Hijabs: Casual"
"Men's Products",Clothing,"Pants: Casual"
"Men's Products",Clothing,"Pant: Casual"
"Men's Products",Clothing,"Salwar Kameez: Stitched Kameez"
"Men's Products",Clothing,"Salwar Kameez: Semistitched"
"Men's Products",Clothing,"Pants: Twill Pants"
"Men's Products",Clothing,"Pants: Cargo Pants"
"Men's Products",Clothing,"Shorts: Two Quarters"
"Men's Products",Clothing,Sweatshirts
"Men's Products",Clothing,Posters
"Men's Products",Clothing,"Triangle Flag"
"Men's Products",Clothing,Axio
"Men's Products",Clothing,Naruto
"Men's Products",Clothing,"One Piece"
"Men's Products",Clothing,"Fullmetal Alchemist"
"Men's Products",Clothing,"Dragon Ball"
"Men's Products",Clothing,"Anime Writings"
"Men's Products",Clothing,Others
"Men's Products",Clothing,"Other Animes"
"Men's Products",Clothing,"T-Shirts: Round-Neck"
"Men's Products",Clothing,"Pants: Gabardine"
"Men's Products",Clothing,Panjabi
"Men's Products",Clothing,"Pants: Formal"
"Men's Products",Clothing,Jersey
"Men's Products",Clothing,Pants
"Men's Products",Clothing,Shirts
"Men's Products",Clothing,"T-Shirts: Full Sleeved"
"Men's Products",Clothing,"Bomber Jackets"
"Men's Products",Clothing,SGHDFJHS
"Men's Products",Clothing,Hoodies
"Men's Products",Accessories,"Eyewear: Spectacles"
"Men's Products",Accessories,"Eyewear: Optical Lenses"
"Men's Products",Accessories,"Eyewear: Sunglasses"
"Men's Products",Accessories,"Bags & Backpacks: Backpacks"
"Men's Products",Accessories,"Bags & Backpacks: Rucksacks"
"Men's Products",Accessories,"Bags & Backpacks: Office Bags"
"Men's Products",Accessories,"Bags & Backpacks: Laptop Bags"
"Men's Products",Accessories,"Bags & Backpacks: Schoolbags"
"Men's Products",Accessories,"Bags & Backpacks: Briefcases"
"Men's Products",Accessories,"Wallets & Card Holders"
"Men's Products",Accessories,Belts
"Men's Products",Accessories,"Rings & Stones"
"Men's Products",Accessories,Lockets
"Men's Products",Accessories,"Hair Bands"
"Men's Products",Accessories,"Ear Rings"
"Men's Products",Accessories,Bracelets
"Men's Products",Accessories,Wristbands
"Men's Products",Accessories,"Beanies & Monkey Caps"
"Men's Products",Accessories,"Caps & Hats"
"Men's Products",Accessories,Cufflinks
"Men's Products",Accessories,"Coat Pins"
"Men's Products",Accessories,"Pocket Squares"
"Men's Products",Accessories,Bowties
"Men's Products",Accessories,"Formal Wear: Cufflinks"
"Men's Products",Accessories,"Formal Wear: Coat Pins"
"Men's Products",Accessories,"Wallets: Classic Bifold"
