City Id,City,Area Id,Area
9,Bagerhat,186,Bagerhat Sadar Upazila
9,Bagerhat,187,Chitalmari Upazila
9,Bagerhat,188,Fakirhat Upazila
9,Bagerhat,189,Kachua Upazila
9,Bagerhat,190,Mollahat Upazila
9,Bagerhat,185,Mongla Upazila
9,Bagerhat,193,Morrelganj Upazila
9,Bagerhat,191,Rampal Upazila
9,Bagerhat,192,Sarankhola Upazila
10,Bandarban,194,Ali kadam
10,Bandarban,196,Bandarban Sadar
10,Bandarban,197,Lama
10,Bandarban,195,Naikhongchhari
10,Bandarban,200,Rowangchhari
10,Bandarban,198,Ruma
10,Bandarban,199,Thanchi
11,Barguna,201,Amtali Upazila
11,Barguna,202,Bamna Upazila
11,Barguna,203,Barguna Sadar Upazila
11,Barguna,205,Betagi Upazila
11,Barguna,206,Patharghata Upazila
11,Barguna,204,Taltali Upazila
7,Barisal,207,Agailjhara Upazila
7,Barisal,209,Airport
7,Barisal,210,Babuganj Upazila
7,Barisal,212,Bakerganj Upazila
7,Barisal,213,Banaripara Upazila
7,Barisal,7,Barisal Sadar
7,Barisal,208,Bondor
7,Barisal,15,Bukhainagar
7,Barisal,211,Gaurnadi Upazila
7,Barisal,215,Hizla Upazila
7,Barisal,22,Jaguarhat
7,Barisal,29,Kashipur
7,Barisal,216,Kawnia
7,Barisal,217,Mehendiganj Upazila
7,Barisal,218,Muladi Upazila
7,Barisal,36,Patang
7,Barisal,43,Saheberhat
7,Barisal,49,Sugandia
7,Barisal,219,Wazirpur Upazila
12,Bhola,220,Bhola Sadar Upazila
12,Bhola,221,Burhanuddin Upazila
12,Bhola,222,Char Fasson Upazila
12,Bhola,223,Daulatkhan Upazila
12,Bhola,224,Lalmohan Upazila
12,Bhola,225,Manpura Upazila
12,Bhola,226,Tazumuddin Upazila
4,Bogra,230,Adamdighi
4,Bogra,4,Bogra Cantonment
4,Bogra,12,Bogra Sadar
4,Bogra,232,Dhunat
4,Bogra,231,Dhupchanchia
4,Bogra,227,Gabtali
4,Bogra,229,Kahaloo
4,Bogra,228,Nandigram
4,Bogra,233,Sahajanpur
4,Bogra,234,Sariakandi
4,Bogra,235,Sherpur
4,Bogra,236,Shibganj
4,Bogra,237,Sonatala
13,Brahmanbaria,239,Akhaura Upazila
13,Brahmanbaria,238,Ashuganj Upazila
13,Brahmanbaria,240,Bancharampur Upazila
13,Brahmanbaria,241,Bijoynagar Upazila
13,Brahmanbaria,242,Brahmanbaria Sadar Upazila
13,Brahmanbaria,243,Kasba Upazila
13,Brahmanbaria,244,Nabinagar Upazila
13,Brahmanbaria,245,Nasirnagar Upazila
13,Brahmanbaria,246,Sarail Upazila
13,Brahmanbaria,247,Shahbazpur Town
14,Chandpur,252,Chandpur Sadar
14,Chandpur,253,Faridganj
14,Chandpur,254,Haimchar
14,Chandpur,255,Haziganj
14,Chandpur,248,Kachua
14,Chandpur,249,Matlab Dakkhin
14,Chandpur,250,Matlab Uttar
14,Chandpur,251,Shahrasti
2,Chittagong,257,1 kilometer
2,Chittagong,258,2 no.gate(nasirabad)
2,Chittagong,259,3 no Fokirhat
2,Chittagong,260,A k Khan
2,Chittagong,261,Agrabad
2,Chittagong,263,Akborshah
2,Chittagong,2,Al- Amin Baria Madra
2,Chittagong,10,Amin Jute Mills
2,Chittagong,18,Anandabazar
2,Chittagong,256,Ander-killah
2,Chittagong,267,Anwara Upazila
2,Chittagong,264,Badamtoli Circle
2,Chittagong,265,Baijid bostami
2,Chittagong,275,Baizidbostami Road
2,Chittagong,268,Bakolia
2,Chittagong,270,Banshkhali Upazila
2,Chittagong,271,Barek building
2,Chittagong,273,Bhujpur
2,Chittagong,274,Bibirhat Road
2,Chittagong,277,Boddarhat
2,Chittagong,276,Boro Pool Circle
2,Chittagong,278,Cantonment area
2,Chittagong,279,Chad-gaown R/A
2,Chittagong,272,Chandanaish Upazila
2,Chittagong,32,Chandgaon
2,Chittagong,280,ChawkBazar-Chittagong
2,Chittagong,45,Chitt. Cantonment
2,Chittagong,51,Chitt. Customs Acca
2,Chittagong,56,Chitt. Politechnic In
2,Chittagong,60,Chitt. Sailers Colon
2,Chittagong,64,Chittagong Airport
2,Chittagong,67,Chittagong Bandar
2,Chittagong,70,Chittagong GPO
2,Chittagong,318,Chondonpura
2,Chittagong,282,Chotto-washori road
2,Chittagong,286,Choumohoni Circle
2,Chittagong,287,City Gate
2,Chittagong,288,College road
2,Chittagong,289,CUET
2,Chittagong,292,Dampara
2,Chittagong,293,Dewanhat
2,Chittagong,295,Doublemooring
2,Chittagong,296,EPZ
2,Chittagong,73,Export Processing
2,Chittagong,297,Fatikchhari Upazila
2,Chittagong,76,Firozshah
2,Chittagong,301,Forest Gate
2,Chittagong,302,Foy's lake
2,Chittagong,305,Golpahar
2,Chittagong,317,Halishohor R/A
2,Chittagong,322,Hathajari(Chittagong University)
2,Chittagong,323,Hathazari Upazila
2,Chittagong,80,Jalalabad
2,Chittagong,82,Jaldia Merine Accade
2,Chittagong,325,Jamal-khan
2,Chittagong,326,Jubli road
2,Chittagong,328,KaptaiRastar-matha
2,Chittagong,298,Katgor
2,Chittagong,283,Kazirdauri
2,Chittagong,281,Keranihat
2,Chittagong,284,Khatungong
2,Chittagong,285,Khulshi R/A(south &north)
2,Chittagong,290,KodomToli
2,Chittagong,294,Kornafuli
2,Chittagong,299,Kornofuli Bridge
2,Chittagong,300,Kotwali
2,Chittagong,303,Kulshi
2,Chittagong,304,Laldighi par
2,Chittagong,307,Lalkhanbazar
2,Chittagong,308,Lohagara Upazila
2,Chittagong,309,Love -lane
2,Chittagong,310,Madarbari
2,Chittagong,312,Mahadibag
2,Chittagong,84,Middle Patenga
2,Chittagong,313,Mirsharai Upazila
2,Chittagong,314,Mohammadpur-Chittagong
2,Chittagong,86,Mohard
2,Chittagong,315,Momin Road
2,Chittagong,316,Muradpur
2,Chittagong,319,Nasirabad R/A
2,Chittagong,320,Nasirabad Women College
2,Chittagong,321,NewMarket-Chittagong
2,Chittagong,88,North Halishahar
2,Chittagong,90,North Katuli
2,Chittagong,324,Oxygen
2,Chittagong,327,Pahartali
2,Chittagong,329,Panchlaish
2,Chittagong,332,Pathor-Ghata
2,Chittagong,333,Patiya Upazila
2,Chittagong,334,Polytechnic Road
2,Chittagong,335,Patenga
2,Chittagong,336,Probortok
2,Chittagong,96,Rampura TSO
2,Chittagong,331,Rangunia Upazila
2,Chittagong,337,Raozan Upazila
2,Chittagong,342,Sandwip Upazila
2,Chittagong,340,Satkania Upazila
2,Chittagong,338,Shagorika
2,Chittagong,339,ShodorGhat-Chittagong
2,Chittagong,344,Shugondha R/A
2,Chittagong,341,Sitakunda Upazila
2,Chittagong,346,Station Road
2,Chittagong,345,Tigerpass
2,Chittagong,348,Vatiyari(BMA)
2,Chittagong,347,Wasacircle
2,Chittagong,98,Wazedia
15,Chuadanga,350,Alamdanga Upazila
15,Chuadanga,349,Chuadanga Sadar Upazila
15,Chuadanga,351,Damurhuda Upazila
15,Chuadanga,352,Jibannagar Upazila
8,Comilla,353,Barura Upazila
8,Comilla,354,Brahmanpara Upazila
8,Comilla,355,Burichong Upazila
8,Comilla,356,Chandina Upazila
8,Comilla,357,Chauddagram Upazila
8,Comilla,8,Comilla Cantonment
8,Comilla,358,Comilla Sadar South Upazila
8,Comilla,359,Comilla Sadar Upazila
8,Comilla,23,Courtbari
8,Comilla,360,Daudkandi Upazila
8,Comilla,361,Debidwar Upazila
8,Comilla,30,Halimanagar
8,Comilla,362,Homna Upazila
8,Comilla,363,Kotwali
8,Comilla,364,Laksam Upazila
8,Comilla,366,Meghna Upazila
8,Comilla,368,Monohorgonj Upazila
8,Comilla,369,Muradnagar Upazila
8,Comilla,365,Nangalkot Upazila
8,Comilla,37,Suaganj
8,Comilla,367,Titas Upazila
16,Cox's Bazar,371,Chakaria Upazila
16,Cox's Bazar,372,Coxs Bazar Sadar Upazila
16,Cox's Bazar,370,Kutubdia Upazila
16,Cox's Bazar,376,Maheshkhali Upazila
16,Cox's Bazar,374,Pekua Upazila
16,Cox's Bazar,373,Ramu Upazila
16,Cox's Bazar,375,Teknaf Upazila
16,Cox's Bazar,377,Ukhia Upazila
1,Dhaka,397,Aambagan
1,Dhaka,396,Abdullahpur
1,Dhaka,1,Adabor
1,Dhaka,398,Aftabnagar
1,Dhaka,9,Agargaon
1,Dhaka,399,Agargaon Taltola
1,Dhaka,402,Alu Bazar
1,Dhaka,403,Amin Bazar
1,Dhaka,405,Ansar Camp
1,Dhaka,406,Arambagh
1,Dhaka,408,Armanitola
1,Dhaka,407,Asad Avenue
1,Dhaka,17,Asad Gate
1,Dhaka,404,Ashkona
1,Dhaka,24,Ashulia
1,Dhaka,401,Azampur
1,Dhaka,31,Azimpur
1,Dhaka,409,Babubazar
1,Dhaka,38,Badda
1,Dhaka,410,Baganbari
1,Dhaka,411,Bailey Road
1,Dhaka,412,Bakshi Bazar
1,Dhaka,413,Balurghat
1,Dhaka,44,Banani
1,Dhaka,50,Banasree
1,Dhaka,55,Bangabhaban
1,Dhaka,416,Bangla Motor
1,Dhaka,59,Bangshal
1,Dhaka,63,Baridhara
1,Dhaka,414,Baridhara DOHS
1,Dhaka,415,Bashabo
